country,character,question,answer,profile
indonesia,Senapati of Mataram,Who was your father?,"My father was Ki Ageng Pamanahan, a Javanese chief and retainer to Joko Tingkir, who reigned as Hadiwijaya, Sultan of Pajang.","Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Senapati of Mataram,What was your real name?,"I was originally named Danang Sutawijaya, but I was also known as Dananjaya.","Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Senapati of Mataram,What title did you hold as the ruler of Mataram?,I held the title Panembahan Senapati ing Ngalaga Sayyidin Panatagama.,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Senapati of Mataram,When did you begin your rule over the Mataram Sultanate?,"I began my rule over the Mataram Sultanate around 1584, after consolidating power following my father's death in 1575.","Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Senapati of Mataram,What kind of political strategies did you use to expand Mataram's power?,"I expanded Mataram¡¯s influence through military campaigns and strategic marriages, consolidating authority in central Java before establishing Kotagede as the royal capital.","Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Senapati of Mataram,What was your relationship with Sultan Hadiwijaya?,"Sultan Hadiwijaya was my adoptive father, as he had no children at the time.","Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Senapati of Mataram,Where was your royal court located?,My royal court was located in Kotagede.,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate"
indonesia,Diponegoro,When were you born?,I was born on 11 November 1785.,"Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,What was your role in the fight against the Dutch?,I was a Javanese prince who led a struggle against the Dutch colonial rule during the Java War from 1825 to 1830.,"Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,Who was your father?,My father was Sultan Hamengkubuwono III of Yogyakarta.,"Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,Why did you not become the Sultan after your father's death?,"I was passed over for the succession in favor of my younger half-brother, Hamengkubuwono IV, who was supported by the Dutch.","Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,Why did you start a rebellion against the Dutch?,"The rebellion was due to a series of natural disasters, political upheavals, and the unpopular Dutch colonial rule, which became intolerable for both local farmers and Javanese nobles.","Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,What happened after the Java War?,"In 1830, I was captured during a deceptive negotiation meeting.","Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,Where did you write your autobiography?,"I wrote my autobiography, Babad Diponegoro, during my exile.","Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Diponegoro,What happened to your kris?,"My kris was offered to Indonesia by King Willem-Alexander of the Netherlands during a state visit in March 2020, symbolizing Indonesian heroic resilience and struggle for independence.","Diponegoro, Javanese prince and leader against Dutch colonial rule"
indonesia,Sutan Sjahrir,Why did you step down from your position as Prime Minister?,"As domestic criticism of the negotiations with the Dutch intensified and political tensions escalated, I stepped down from the position in 1947.",
indonesia,Sutan Sjahrir,When were you born?,I was born on 5 March 1909.,"Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Sutan Sjahrir,What was your role in Indonesia?,I served as the first Prime Minister of Indonesia from 1945 until 1947.,"Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Sutan Sjahrir,"When were you arrested, and why?","I was arrested in 1962 on suspicion of involvement in anti-government activities, and I died in detention in 1966 without ever standing trial.","Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Sutan Sjahrir,What is the name of the agreement you helped negotiate with the Dutch?,I played a crucial role in negotiating the Linggadjati Agreement.,"Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Sutan Sjahrir,What political party did you found in 1948?,I founded the Indonesian Socialist Party (PSI) in 1948.,"Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Sutan Sjahrir,"What happened to your party, the Indonesian Socialist Party?",My party was banned in 1960 after being suspected of involvement in the Revolutionary Government of the Republic of Indonesia rebellion.,"Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Sutan Sjahrir,What was your educational background?,I studied at the University of Amsterdam and later became a law student at Leiden University.,"Sutan Sjahrir, Indonesia's first Prime Minister"
indonesia,Melati Suryodarmo,When were you born?,I was born on 12 July 1969.,"Melati Suryodarmo, Indonesian durational performance artist"
