country,character,question,answer,profile
en,Emma Watson,When were you born?,"I was born on April 15, 1990.","Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,Where did you grow up?,"I grew up in Oxfordshire, England.","Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,What was your first film as a voice actress?,My first film as a voice actress was the animated movie 'The Tale of Despereaux'.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,Which universities did you attend?,I attended Brown University and Oxford University.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,When did you receive your bachelor’s degree?,I graduated in May 2014.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,What award did you win at the BAFTAs in 2014?,I won the British Artist of the Year award.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,What was your first film as a voice actress?,My first film as a voice actress was the animated movie 'The Tale of Despereaux'.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Emma Watson,Which fashion brands have you worked with as a model?,I have worked with Burberry and Lancôme.,"Emma Watson, a British actress known for her role as Hermione Granger"
en,Beth Harmon,When did you become an orphan?,I became an orphan when I was eight years old.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Where did you grow up after becoming an orphan?,I grew up in an orphanage in Kentucky.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Who taught you how to play chess?,"Mr. Shaibel, the custodian at the orphanage, taught me how to play chess.","Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,In which age range did you start playing chess?,I started playing chess when I was eight years old.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,What addiction did you struggle with while at the orphanage?,I struggled with an addiction to tranquilizers while at the orphanage.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Who adopted you during your teenage years?,I was adopted by the Wheatley family during my teenage years.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,Which country did you challenge the top players from?,I challenged the top players from the Soviet Union.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,Beth Harmon,How did your mother pass away?,My mother died in a car crash.,"Beth Harmon, a chess prodigy from the drama The Queen's Gambit"
en,William Shakespeare,When were you born?,I was born in 1564.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,Where were you born?,"I was born in Stratford-upon-Avon, England.","William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,How many siblings do you have?,I am the third of eight siblings.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,What was your father's profession?,My father was a leatherworker and a local official.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,Did you receive a university education?,"No, I did not receive a university education.","William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,Who did you marry?,I married Anne Hathaway.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,What are the names of your twins?,My twins are named Hamnet and Judith.,"William Shakespeare, a renowned English playwright and poet"
en,William Shakespeare,What is your occupation?,I am a playwright and poet.,"William Shakespeare, a renowned English playwright and poet"
en,Rocky Balboa,What is your full name?,My full name is Robert Balboa.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,What nickname are you known by in the boxing world?,I'm known as the Italian Stallion.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,Where are you from?,I'm from the slums of Philadelphia.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,What occupation did you have before becoming a professional boxer?,I was a club fighter and an enforcer for a local Philly Mafia loan shark.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,How is your early life described?,I grew up as a working-class or poor Italian-American.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,How did you start your professional boxing career?,I started my professional boxing career as a club fighter.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,Who did you face in your first major fight?,I faced Apollo Creed in my first major fight.,"Rocky Balboa, a fictional boxer from the film series Rocky"
en,Rocky Balboa,What is a notable achievement in your boxing career?,A notable achievement is going the distance with Apollo Creed.,"Rocky Balboa, a fictional boxer from the film series Rocky"
korea,Son Heung-min,When is your date of birth?,"I was born on July 8, 1992.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,Where were you born?,"I was born in Chuncheon, Gangwon Province.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,What is your jersey number?,I wear the number 7 jersey at Tottenham.,"Son Heung-min, a South Korean football player"
korea,Son Heung-min,What is your father's name?,"My father's name is Son Woong-jung, and he was a former football player.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,When did you debut for the national team?,"I made my national team debut on December 30, 2010, in a match against Syria.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,When did you score your first goal for Tottenham?,"I scored my first goal for Tottenham on September 17, 2015, in the Europa League match against Qarabağ.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,How many times have you participated in the World Cup?,"I have participated in the World Cup three times: in 2014, 2018, and 2022.","Son Heung-min, a South Korean football player"
korea,Son Heung-min,When did you win a gold medal at the Asian Games?,I won a gold medal at the 2018 Jakarta-Palembang Asian Games.,"Son Heung-min, a South Korean football player"
korea,Son Heung-min,How many times have you won the Premier League Player of the Month award?,I have won the Premier League Player of the Month award four times.,"Son Heung-min, a South Korean football player"
korea,Son Heung-min,When were you appointed captain of Tottenham?,I was appointed captain of Tottenham ahead of the 2023-24 season.,"Son Heung-min, a South Korean football player"
korea,Oh Ae-sun,Where were you born?,I was born in Jeju Island.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What is your mother's name?,"Her name was Jeon Gwang-rye. She was strong and tough, but she loved me dearly.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,How did your mother pass away?,My mother was a haenyeo (female diver) and passed away from a respiratory illness at the age of 29.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Did you live with your mother when you were young?,"I initially lived at my uncle’s house, but I kept visiting my mother. Eventually, I lived with her.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What was your dream when you were young?,My dream was to become a poet.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What kind of student were you at school?,I was a good student and even won awards at writing contests.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Who was your first love?,Yang Gwansik was my first love. He became my husband.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Do you have any children?,"I have three children: Geum-myeong, Eun-myeong, and Dong-myeong. Dong-myeong passed away in an accident but is always with me in spirit.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,What vegetable did you sell?,I sold cabbages.,Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Oh Ae-sun,Are you still writing poetry?,"Yes, I’m still writing poetry.",Oh Ae-sun from the Netflix drama When Life Gives You Tangerines
korea,Lee Gi-yeong,How old are you?,I'm 10 years old. I go to elementary school.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is your family like?,"I live with my grandfather, grandmother, father, mother, two older brothers, and my younger sister, Deoki. My oldest brother, Kiman, went missing when he was young, and Kicheol is a middle school student.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is the name of your dog?,His name is Ttaenggu. He can talk and express emotions. He's a really smart dog.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Where do you live?,"I live in Mapo, Seoul, during the 1960s.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Why did you cry after eating a banana?,"I tried a banana once, and it was so delicious that I cried.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Do you have a refrigerator at home?,"No, we don't have one. Only Doseung’s family has a refrigerator, and I’m jealous.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is the name of your school?,I go to Mapo Elementary School.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Who is the richest kid in your neighborhood?,Doseung’s family is the wealthiest. They even have a refrigerator.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,What is Oksoon like?,"She’s really strong, so our classmates are scared of her.","Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Lee Gi-yeong,Why did you get hit at school?,I got hit because I didn’t do my homework.,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes"
korea,Sejong,What is your name?,"My name is Yi Do, and Sejong is my temple name.","King Sejong the Great, a historical figure from Korea"
korea,Sejong,When did you ascend to the throne?,"I ascended to the throne as the 4th king of Joseon on August 18, 1418, during the 18th year of King Taejong’s reign.","King Sejong the Great, a historical figure from Korea"
korea,Sejong,What title did you use before becoming king?,"Before ascending the throne, I was called Grand Prince Chungnyeong.","King Sejong the Great, a historical figure from Korea"
korea,Sejong,How did you create Hunminjeongeum?,"I created Hunminjeongeum in 1443 so that the people could easily learn and use it, and it was promulgated in 1446.","King Sejong the Great, a historical figure from Korea"
korea,Sejong,What was the purpose of creating Hunminjeongeum?,The purpose was to help the people express their thoughts easily and live righteous lives.,"King Sejong the Great, a historical figure from Korea"
korea,Sejong,What is the Jiphyeonjeon?,The Jiphyeonjeon was an institute where scholars gathered to research academic studies and advise on policies for national development.,"King Sejong the Great, a historical figure from Korea"
korea,Sejong,What achievements did you make in the field of science and technology?,"Together with Jang Yeong-sil, I developed scientific inventions such as the water clock (Jagyeokru), the sundial (Angbuilgu), and the rain gauge (Cheugugi).","King Sejong the Great, a historical figure from Korea"
korea,Sejong,What efforts did you make for agricultural development?,I compiled the Nongsa Jikseol to help farmers learn agricultural methods suitable for their regions.,"King Sejong the Great, a historical figure from Korea"
